m_value,M_value,L_value,g_value,d_value,b_value,theta_cmd,theta_0,thetadot_cmd,theta_dot_0,F_value,t0
0,0,0,0,0,0,0,0.512983,0,-0.45637,-2.364272,0.830831
0,0,0,0,0,0,0,0.508433,0,-0.452872,-2.341789,0.840841
0,0,0,0,0,0,0,0.503917,0,-0.449375,-2.319555,0.850851
0,0,0,0,0,0,0,0.499436,0,-0.445881,-2.297565,0.860861
0,0,0,0,0,0,0,0.49499,0,-0.44239,-2.275816,0.870871
0,0,0,0,0,0,0,0.490579,0,-0.438905,-2.254303,0.880881
0,0,0,0,0,0,0,0.486203,0,-0.435426,-2.233021,0.890891
0,0,0,0,0,0,0,0.481862,0,-0.431955,-2.211968,0.900901
0,0,0,0,0,0,0,0.477556,0,-0.428493,-2.191138,0.910911
0,0,0,0,0,0,0,0.473284,0,-0.425041,-2.170529,0.920921
0,0,0,0,0,0,0,0.469046,0,-0.421599,-2.150136,0.930931
0,0,0,0,0,0,0,0.464843,0,-0.41817,-2.129956,0.940941
0,0,0,0,0,0,0,0.460674,0,-0.414753,-2.109986,0.950951
0,0,0,0,0,0,0,0.45654,0,-0.411349,-2.090223,0.960961
0,0,0,0,0,0,0,0.452439,0,-0.407959,-2.070663,0.970971
0,0,0,0,0,0,0,0.448372,0,-0.404584,-2.051303,0.980981
0,0,0,0,0,0,0,0.444339,0,-0.401225,-2.03214,0.990991
0,0,0,0,0,0,0,0.44034,0,-0.397882,-2.013171,1.001001
0,0,0,0,0,0,0,0.436374,0,-0.394555,-1.994394,1.011011
0,0,0,0,0,0,0,0.432441,0,-0.391245,-1.975806,1.021021
0,0,0,0,0,0,0,0.428541,0,-0.387953,-1.957403,1.031031
0,0,0,0,0,0,0,0.424674,0,-0.384679,-1.939184,1.041041
0,0,0,0,0,0,0,0.420839,0,-0.381424,-1.921146,1.051051
0,0,0,0,0,0,0,0.417038,0,-0.378187,-1.903286,1.061061
0,0,0,0,0,0,0,0.413268,0,-0.37497,-1.885602,1.071071
0,0,0,0,0,0,0,0.409531,0,-0.371772,-1.868092,1.081081
0,0,0,0,0,0,0,0.405825,0,-0.368594,-1.850753,1.091091
0,0,0,0,0,0,0,0.402151,0,-0.365436,-1.833583,1.101101
0,0,0,0,0,0,0,0.398509,0,-0.362298,-1.81658,1.111111
0,0,0,0,0,0,0,0.394898,0,-0.359181,-1.799742,1.121121
0,0,0,0,0,0,0,0.391318,0,-0.356084,-1.783066,1.131131
0,0,0,0,0,0,0,0.387769,0,-0.353008,-1.766551,1.141141
0,0,0,0,0,0,0,0.384251,0,-0.349954,-1.750195,1.151151
0,0,0,0,0,0,0,0.380763,0,-0.34692,-1.733996,1.161161
0,0,0,0,0,0,0,0.377305,0,-0.343908,-1.717952,1.171171
0,0,0,0,0,0,0,0.373878,0,-0.340917,-1.702061,1.181181
0,0,0,0,0,0,0,0.37048,0,-0.337948,-1.686321,1.191191
0,0,0,0,0,0,0,0.367112,0,-0.335,-1.670731,1.201201
0,0,0,0,0,0,0,0.363773,0,-0.332074,-1.655288,1.211211
0,0,0,0,0,0,0,0.360464,0,-0.329169,-1.639992,1.221221
0,0,0,0,0,0,0,0.357183,0,-0.326286,-1.62484,1.231231
0,0,0,0,0,0,0,0.353932,0,-0.323425,-1.60983,1.241241
0,0,0,0,0,0,0,0.350708,0,-0.320585,-1.594962,1.251251
0,0,0,0,0,0,0,0.347513,0,-0.317768,-1.580234,1.261261
0,0,0,0,0,0,0,0.344347,0,-0.314971,-1.565643,1.271271
0,0,0,0,0,0,0,0.341208,0,-0.312197,-1.55119,1.281281
0,0,0,0,0,0,0,0.338096,0,-0.309444,-1.536871,1.291291
0,0,0,0,0,0,0,0.335012,0,-0.306713,-1.522686,1.301301
0,0,0,0,0,0,0,0.331956,0,-0.304003,-1.508633,1.311311
0,0,0,0,0,0,0,0.328926,0,-0.301315,-1.494712,1.321321
0,0,0,0,0,0,0,0.325923,0,-0.298648,-1.480919,1.331331
0,0,0,0,0,0,0,0.322947,0,-0.296003,-1.467255,1.341341
0,0,0,0,0,0,0,0.319997,0,-0.293379,-1.453717,1.351351
0,0,0,0,0,0,0,0.317074,0,-0.290776,-1.440305,1.361361
0,0,0,0,0,0,0,0.314176,0,-0.288195,-1.427017,1.371371
0,0,0,0,0,0,0,0.311304,0,-0.285634,-1.413852,1.381381
0,0,0,0,0,0,0,0.308458,0,-0.283094,-1.400809,1.391391
0,0,0,0,0,0,0,0.305636,0,-0.280576,-1.387886,1.401401
0,0,0,0,0,0,0,0.30284,0,-0.278078,-1.375082,1.411411
0,0,0,0,0,0,0,0.300069,0,-0.275601,-1.362396,1.421421
0,0,0,0,0,0,0,0.297323,0,-0.273144,-1.349827,1.431431
0,0,0,0,0,0,0,0.294601,0,-0.270708,-1.337374,1.441441
0,0,0,0,0,0,0,0.291903,0,-0.268292,-1.325035,1.451451
0,0,0,0,0,0,0,0.289229,0,-0.265896,-1.31281,1.461461
0,0,0,0,0,0,0,0.28658,0,-0.263521,-1.300697,1.471471
0,0,0,0,0,0,0,0.283954,0,-0.261165,-1.288695,1.481481
0,0,0,0,0,0,0,0.281351,0,-0.25883,-1.276803,1.491491
0,0,0,0,0,0,0,0.278772,0,-0.256514,-1.26502,1.501502
0,0,0,0,0,0,0,0.276216,0,-0.254218,-1.253345,1.511512
0,0,0,0,0,0,0,0.273682,0,-0.251941,-1.241778,1.521522
0,0,0,0,0,0,0,0.271172,0,-0.249684,-1.230316,1.531532
0,0,0,0,0,0,0,0.268684,0,-0.247446,-1.218959,1.541542
0,0,0,0,0,0,0,0.266218,0,-0.245227,-1.207706,1.551552
0,0,0,0,0,0,0,0.263774,0,-0.243028,-1.196556,1.561562
0,0,0,0,0,0,0,0.261352,0,-0.240847,-1.185508,1.571572
0,0,0,0,0,0,0,0.258952,0,-0.238685,-1.174561,1.581582
0,0,0,0,0,0,0,0.256574,0,-0.236541,-1.163713,1.591592
0,0,0,0,0,0,0,0.254217,0,-0.234416,-1.152965,1.601602
0,0,0,0,0,0,0,0.251881,0,-0.232309,-1.142316,1.611612
0,0,0,0,0,0,0,0.249566,0,-0.230221,-1.131763,1.621622
0,0,0,0,0,0,0,0.247272,0,-0.22815,-1.121307,1.631632
0,0,0,0,0,0,0,0.244998,0,-0.226098,-1.110946,1.641642
0,0,0,0,0,0,0,0.242745,0,-0.224063,-1.100679,1.651652
0,0,0,0,0,0,0,0.240512,0,-0.222046,-1.090507,1.661662
0,0,0,0,0,0,0,0.2383,0,-0.220047,-1.080427,1.671672
0,0,0,0,0,0,0,0.236107,0,-0.218065,-1.070439,1.681682
0,0,0,0,0,0,0,0.233934,0,-0.2161,-1.060542,1.691692
0,0,0,0,0,0,0,0.231781,0,-0.214152,-1.050735,1.701702
0,0,0,0,0,0,0,0.229647,0,-0.212222,-1.041018,1.711712
0,0,0,0,0,0,0,0.227532,0,-0.210308,-1.031389,1.721722
0,0,0,0,0,0,0,0.225436,0,-0.208411,-1.021848,1.731732
0,0,0,0,0,0,0,0.223359,0,-0.206531,-1.012394,1.741742
0,0,0,0,0,0,0,0.221301,0,-0.204667,-1.003027,1.751752
0,0,0,0,0,0,0,0.219262,0,-0.202819,-0.993744,1.761762
0,0,0,0,0,0,0,0.217241,0,-0.200988,-0.984546,1.771772
0,0,0,0,0,0,0,0.215238,0,-0.199173,-0.975432,1.781782
0,0,0,0,0,0,0,0.213253,0,-0.197374,-0.966402,1.791792
0,0,0,0,0,0,0,0.211287,0,-0.19559,-0.957453,1.801802
0,0,0,0,0,0,0,0.209338,0,-0.193823,-0.948586,1.811812
0,0,0,0,0,0,0,0.207406,0,-0.192071,-0.939799,1.821822
0,0,0,0,0,0,0,0.205492,0,-0.190334,-0.931093,1.831832
0,0,0,0,0,0,0,0.203596,0,-0.188613,-0.922466,1.841842
0,0,0,0,0,0,0,0.201716,0,-0.186906,-0.913918,1.851852
0,0,0,0,0,0,0,0.199854,0,-0.185215,-0.905447,1.861862
0,0,0,0,0,0,0,0.198008,0,-0.183539,-0.897054,1.871872
0,0,0,0,0,0,0,0.196179,0,-0.181878,-0.888737,1.881882
0,0,0,0,0,0,0,0.194367,0,-0.180231,-0.880497,1.891892
0,0,0,0,0,0,0,0.192571,0,-0.178599,-0.872331,1.901902
0,0,0,0,0,0,0,0.190791,0,-0.176982,-0.864239,1.911912
0,0,0,0,0,0,0,0.189028,0,-0.175378,-0.856222,1.921922
0,0,0,0,0,0,0,0.18728,0,-0.173789,-0.848277,1.931932
0,0,0,0,0,0,0,0.185548,0,-0.172214,-0.840405,1.941942
0,0,0,0,0,0,0,0.183832,0,-0.170653,-0.832604,1.951952
0,0,0,0,0,0,0,0.182132,0,-0.169106,-0.824875,1.961962
0,0,0,0,0,0,0,0.180447,0,-0.167573,-0.817216,1.971972
0,0,0,0,0,0,0,0.178777,0,-0.166053,-0.809627,1.981982
0,0,0,0,0,0,0,0.177122,0,-0.164547,-0.802108,1.991992
0,0,0,0,0,0,0,0.175483,0,-0.163054,-0.794656,2.002002
0,0,0,0,0,0,0,0.173858,0,-0.161574,-0.787273,2.012012
0,0,0,0,0,0,0,0.172248,0,-0.160107,-0.779957,2.022022
0,0,0,0,0,0,0,0.170653,0,-0.158654,-0.772708,2.032032
0,0,0,0,0,0,0,0.169072,0,-0.157214,-0.765525,2.042042
0,0,0,0,0,0,0,0.167505,0,-0.155786,-0.758408,2.052052
0,0,0,0,0,0,0,0.165953,0,-0.154371,-0.751355,2.062062
0,0,0,0,0,0,0,0.164415,0,-0.152969,-0.744367,2.072072
0,0,0,0,0,0,0,0.16289,0,-0.151579,-0.737442,2.082082
0,0,0,0,0,0,0,0.16138,0,-0.150201,-0.730581,2.092092
0,0,0,0,0,0,0,0.159883,0,-0.148836,-0.723783,2.102102
0,0,0,0,0,0,0,0.1584,0,-0.147483,-0.717046,2.112112
0,0,0,0,0,0,0,0.156931,0,-0.146142,-0.710371,2.122122
0,0,0,0,0,0,0,0.155474,0,-0.144813,-0.703757,2.132132
0,0,0,0,0,0,0,0.154031,0,-0.143496,-0.697204,2.142142
0,0,0,0,0,0,0,0.152602,0,-0.142191,-0.69071,2.152152
0,0,0,0,0,0,0,0.151185,0,-0.140897,-0.684276,2.162162
0,0,0,0,0,0,0,0.149781,0,-0.139615,-0.6779,2.172172
0,0,0,0,0,0,0,0.14839,0,-0.138344,-0.671582,2.182182
0,0,0,0,0,0,0,0.147011,0,-0.137085,-0.665323,2.192192
0,0,0,0,0,0,0,0.145645,0,-0.135837,-0.65912,2.202202
0,0,0,0,0,0,0,0.144292,0,-0.1346,-0.652975,2.212212
0,0,0,0,0,0,0,0.14295,0,-0.133374,-0.646885,2.222222
0,0,0,0,0,0,0,0.141621,0,-0.132159,-0.640851,2.232232
0,0,0,0,0,0,0,0.140304,0,-0.130955,-0.634872,2.242242
0,0,0,0,0,0,0,0.139,0,-0.129762,-0.628948,2.252252
0,0,0,0,0,0,0,0.137707,0,-0.12858,-0.623079,2.262262
0,0,0,0,0,0,0,0.136425,0,-0.127408,-0.617262,2.272272
0,0,0,0,0,0,0,0.135156,0,-0.126246,-0.611499,2.282282
0,0,0,0,0,0,0,0.133898,0,-0.125095,-0.605789,2.292292
0,0,0,0,0,0,0,0.132651,0,-0.123954,-0.600131,2.302302
0,0,0,0,0,0,0,0.131416,0,-0.122824,-0.594525,2.312312
0,0,0,0,0,0,0,0.130192,0,-0.121704,-0.58897,2.322322
0,0,0,0,0,0,0,0.12898,0,-0.120593,-0.583466,2.332332
0,0,0,0,0,0,0,0.127778,0,-0.119493,-0.578012,2.342342
0,0,0,0,0,0,0,0.126587,0,-0.118403,-0.572609,2.352352
0,0,0,0,0,0,0,0.125408,0,-0.117322,-0.567255,2.362362
0,0,0,0,0,0,0,0.124239,0,-0.116251,-0.561949,2.372372
0,0,0,0,0,0,0,0.12308,0,-0.11519,-0.556693,2.382382
0,0,0,0,0,0,0,0.121933,0,-0.114138,-0.551484,2.392392
0,0,0,0,0,0,0,0.120795,0,-0.113095,-0.546324,2.402402
0,0,0,0,0,0,0,0.119668,0,-0.112062,-0.54121,2.412412
0,0,0,0,0,0,0,0.118552,0,-0.111039,-0.536144,2.422422
0,0,0,0,0,0,0,0.117445,0,-0.110024,-0.531124,2.432432
0,0,0,0,0,0,0,0.116349,0,-0.109019,-0.52615,2.442442
0,0,0,0,0,0,0,0.115263,0,-0.108022,-0.521221,2.452452
0,0,0,0,0,0,0,0.114186,0,-0.107035,-0.516338,2.462462
0,0,0,0,0,0,0,0.11312,0,-0.106057,-0.511499,2.472472
0,0,0,0,0,0,0,0.112063,0,-0.105087,-0.506705,2.482482
0,0,0,0,0,0,0,0.111016,0,-0.104126,-0.501955,2.492492
